应用名称：小琪TV
应用包名：com.vv.test
数据地址：http://47.240.44.189/2020/tv/data88998.php
应用签名：11779
附加字符：A9YZzkKb5bJKldYrCBe9


精選節目,#genre#
汕头新闻综合,http://111.229.155.66:7722/timetv.php?type=sttv&channel=stxw
汕头经济生活,http://111.229.155.66:7722/timetv.php?type=sttv&channel=stjj
广东卫视,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdws
广东珠江频道,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdzj
广东大湾区卫视,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdnf
广东综艺频道,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdzy
广东新闻频道,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdxw
广东体育频道,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdty
广东公共频道,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdgg
广东影视频道,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdys
广东嘉佳卡通,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdkt
广东国际频道,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdgj
广东经济科教,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdjj
广东少儿频道,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdse
广东移动频道,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdyd
GRTN文化频道,http://111.229.155.66:7722/timetv.php?type=gdtv&channel=gdwh
广州综合频道,http://111.229.155.66:7722/timetv.php?type=gztv&channel=gzzh
广州新闻频道,http://111.229.155.66:7722/timetv.php?type=gztv&channel=gzxw
广州法治频道,http://111.229.155.66:7722/timetv.php?type=gztv&channel=gzfz
广州竞赛频道,http://111.229.155.66:7722/timetv.php?type=gztv&channel=gzjs
广州影视频道,http://111.229.155.66:7722/timetv.php?type=gztv&channel=gzys
广州南国都市,http://111.229.155.66:7722/timetv.php?type=gztv&channel=gzds
佛山公共频道,http://111.229.155.66:7722/timetv.php?type=fstv&channel=fsgg
佛山综合频道,http://111.229.155.66:7722/timetv.php?type=fstv&channel=fszh
佛山影视频道,http://111.229.155.66:7722/timetv.php?type=fstv&channel=fsys
佛山南海频道,http://111.229.155.66:7722/timetv.php?type=fstv&channel=fsnh
